2019 Input-Output Analytical Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Input-Output table (domestic use, basic prices, industry by industry), £ million",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MENU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SIC,A01,A02,A03,B05,B06 & B07,B08,B09,C101,C102_3,C104,C105,C106,C107,C108,C109,C1101T1106 & C12,C1107,C13,C14,C15,C16,C17,C18,C19,C203,C204,C205,C20A,C20B,C20C,C21,C22,C235_6,C23OTHER,C241T243,C244_5,C254,C25OTHER,C26,C27,C28,C29,C301,C303,C30OTHER,C31,C32,C3315,C3316,C33OTHER,D351,D352_3,E36,E37,E38,E39,"F41, F42  & F43",G45,G46,G47,H491_2,H493T495,H50,H51,H52,H53,I55,I56,J58,J59 & J60,J61,J62,J63,K64,K65.1-2 & K65.3,K66,L683,L68A,L68BXL683,M691,M692,M70,M71,M72,M73,M74,M75,N77,N78,N79,N80,N81,N82,O84,P85,Q86,Q87 & Q88,R90,R91,R92,R93,S94,S95,S96,T97,_T,P3 S1,P3 S13,P3 S14,P3 S15,P51G,P52,P53,P61EU,P61RW,P62,TU,,,,,,
C14,Manufacture Of Wearing Apparel  ,2,0,0,0,1,1,0,2,1,0,1,1,1,2,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,2,1,1,1,1,0,0,2,1,1,3,4,0,2,0,1,1,0,0,0,1,0,0,0,1,0,16,1,11,7,0,5,1,1,2,0,1,5,1,2,1,2,0,9,2,8,0,1,13,1,0,1,2,2,1,3,0,1,0,0,0,1,2,111,16,66,12,1,0,1,1,2,0,1,0,362,725,0,725,0,16,38,3,502,533,"1,727","3,906",,,,,,
C15,Manufacture Of Leather And Related Products  ,1,0,0,0,0,0,0,4,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,2,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,13,3,3,1,0,1,0,0,1,0,1,5,1,1,0,0,0,0,2,9,0,0,23,0,0,0,0,1,0,0,0,1,0,0,0,0,0,90,1,4,1,0,0,1,0,0,2,0,0,200,39,0,39,0,12,67,0,30,30,613,991,,,,,,
C16,"Manufacture Of Wood & Products Of Wood & Cork, Except Furniture; Manuf. Of Articles Of Straw",4,0,0,0,20,1,0,4,2,0,2,1,2,3,1,2,1,1,1,0,2,317,2,0,2,1,1,1,1,0,6,2,1,1,2,0,8,21,3,10,8,110,48,13,0,703,109,3,0,34,3,1,0,0,6,0,"4,453",2,12,12,2,5,1,2,4,1,3,9,5,4,2,8,2,10,7,18,1,169,32,2,1,2,3,4,3,5,0,1,0,1,0,281,5,31,78,18,5,8,0,1,3,4,11,64,0,"6,760",874,0,873,1,139,514,4,402,144,80,"8,918",,,,,,
C17,Manufacture Of Paper And Paper Products  ,75,1,4,0,5,4,1,85,50,5,41,104,189,215,68,71,5,2,17,3,15,7,43,1,1,92,33,15,3,1,73,107,34,11,4,1,1,67,48,44,11,53,3,30,1,23,32,1,0,3,12,15,3,2,71,1,244,51,221,273,4,87,6,7,147,63,90,161,"1,108",74,57,107,281,188,44,158,23,23,56,97,37,66,42,96,118,134,28,20,25,66,8,128,3,571,568,589,117,9,22,59,142,73,4,212,0,"8,508","1,410",0,"1,409",0,61,106,12,"1,238",591,146,"12,073",,,,,,
C18,Printing And Reproduction Of Recorded Media  ,16,1,1,0,4,1,1,13,8,1,7,13,24,27,9,12,3,2,4,1,3,8,749,1,1,12,4,2,1,0,16,14,5,2,2,1,1,12,9,8,10,20,2,9,0,7,10,1,0,3,7,3,1,1,34,0,92,62,928,872,3,19,8,4,33,9,17,29,"1,133",53,81,37,34,325,384,220,5,27,12,114,6,12,9,24,33,24,4,7,5,97,1,32,8,734,993,880,95,20,81,12,200,13,1,27,0,"8,925","1,228",0,"1,227",1,138,-249,60,426,347,163,"11,039",,,,,,
C19,Manufacture Of Coke And Refined Petroleum Products  ,850,20,52,8,40,116,0,57,11,2,25,6,29,15,38,32,5,6,6,1,28,38,7,472,0,0,0,0,298,4,2,18,112,143,1,6,1,58,3,7,17,7,6,11,1,21,24,5,4,138,4,0,28,18,79,11,"1,985",305,"2,142",702,196,"1,219",553,5,364,385,43,32,18,94,78,50,3,327,57,216,17,5,110,18,47,95,77,29,16,113,17,203,26,210,43,112,158,365,330,265,233,9,14,0,52,98,9,44,0,"14,384","7,528",0,"7,528",0,23,316,0,"5,033","3,269",179,"30,733",,,,,,
C203,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",26,0,0,0,2,2,1,4,2,0,2,1,2,3,1,2,2,2,1,1,29,76,4,2,4,2,3,1,16,1,5,22,3,2,2,1,2,71,4,3,36,311,6,12,2,13,2,8,2,21,3,0,1,0,11,0,709,1,7,4,0,3,0,1,2,0,3,11,236,3,1,2,1,3,2,12,0,5,26,0,0,1,7,18,1,1,0,1,0,0,0,2,2,62,46,15,18,1,0,0,7,1,2,1,0,"1,951",77,0,76,1,63,34,3,685,492,88,"3,392",,,,,,
C204,"Manufacture of soap & detergents, cleaning & polishing, perfumes & toilet preparations",123,1,1,0,2,2,1,8,4,0,8,2,4,5,2,3,3,2,1,1,9,11,6,2,3,256,3,2,12,1,9,16,3,3,3,1,3,10,4,5,11,20,1,7,1,2,3,0,0,2,9,1,3,0,21,1,59,2,37,120,1,5,1,2,3,1,4,83,9,5,2,4,1,9,1,13,0,1,24,1,0,1,8,12,7,3,5,1,0,1,0,149,4,69,143,88,127,6,4,0,14,4,0,133,0,"1,783","2,976",24,"2,951",1,50,-39,2,"1,824","1,189",379,"8,164",,,,,,
C205,Manufacture of other chemical products,18,1,0,4,3,18,17,7,5,0,4,5,8,10,4,6,8,5,2,25,209,133,109,7,10,8,10,4,54,1,12,138,43,4,3,1,57,35,11,7,13,47,2,13,1,12,5,1,0,3,8,1,2,2,5,1,227,3,21,17,1,10,1,1,5,1,5,24,25,34,3,6,1,5,3,5,0,3,24,1,1,2,110,38,3,5,1,2,0,1,0,29,9,32,25,208,11,2,1,1,3,3,0,5,0,"2,046",236,13,221,2,123,427,5,"1,593","1,446",183,"6,059",,,,,,
C20A,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",434,0,0,1,13,7,2,2,1,0,1,2,1,3,1,9,19,12,0,2,15,12,8,8,73,3,12,10,170,2,10,119,9,47,2,4,8,45,5,8,11,46,2,12,0,3,5,0,0,6,309,2,97,0,4,0,71,1,12,7,1,5,0,1,2,0,2,5,3,4,1,3,1,4,3,1,0,2,32,1,0,1,28,9,2,3,0,3,0,0,0,6,5,18,5,185,2,4,0,0,1,5,4,1,0,"2,023",355,1,354,0,22,-14,0,795,619,447,"4,247",,,,,,
C20B,Manufacture of petrochemicals - 20.14/16/17/60,76,1,1,0,3,34,2,12,8,0,9,2,9,10,4,5,73,89,1,5,25,31,20,120,217,35,193,45,"1,195",26,121,"1,547",53,41,7,4,7,19,74,64,17,330,14,92,1,29,58,4,0,4,13,2,18,5,11,0,132,5,63,36,2,21,2,2,10,2,5,21,12,8,4,11,2,12,3,6,1,3,20,2,1,5,332,118,5,8,3,3,1,1,0,8,12,33,19,90,10,4,1,1,3,4,2,5,0,"5,841",303,38,263,2,109,212,0,"2,390","2,009",502,"11,366",,,,,,
C20C,"Manufacture of dyestuffs, agro-chemicals - 20.12/20","1,179",0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,2,32,1,1,2,1,1,1,9,0,1,10,1,1,0,0,0,3,1,1,2,7,0,1,0,1,1,0,0,1,6,0,7,0,1,0,15,0,3,2,0,2,0,0,1,0,1,2,4,5,0,1,0,3,2,1,0,0,26,0,0,0,3,17,1,1,0,0,0,0,0,1,1,23,5,8,1,0,0,0,0,0,0,1,0,"1,413",34,1,33,1,48,-46,0,481,291,51,"2,273",,,,,,
